1,9580
2,9380
3,9450
4,9490
5,9740
6,9600
7,9410
8,9480
9,9400
10,9380
11,9510
12,9530
13,9390
14,9380
15,9580
16,9500
17,9170
18,9080
19,9310
20,9480
21,9350
22,9530
23,9240
24,9800
25,9400
26,9200
27,9330
28,9470
29,9380
30,9350
31,9520
32,9500
33,9440
34,9620
35,9340
36,9460
37,9650
38,9420
39,9480
40,9500
41,9700
42,9520
43,9620
44,9660
45,9840
46,9780
47,9680
48,9540
49,9560
50,9600
51,9620
52,9487
53,9610
54,9570
55,9560
56,9590
57,9540
58,9580
59,9560
60,9520
61,9570
62,9460
63,9440
64,9386
65,9273
66,9304
67,9450
68,9414
69,9460
70,9611
71,9593
72,9570
73,9545
74,9549
75,9534
76,9514
77,9619
78,9617
79,9596
80,9540
81,9575
82,9555
83,9547
84,9563
85,9548
86,9545
87,9516
88,9544
89,9572
90,9547
91,9691
92,9639
93,9667
94,9590
95,9640
96,9599
97,9652
98,9645
99,9678
100,9660
101,9686
102,9683
103,9667
104,9652
105,9695
106,9707
107,9710
108,9715
109,9676
110,9695
111,9656
112,9755
113,9759
114,9797
115,9804
116,9791
117,9787
118,9809
119,9807
120,9837
121,9820
122,9803
123,9839
124,9873
125,9873
126,9859
127,9887
128,9872
129,9873
130,9890
131,9947
132,9926
133,9929
134,9921
135,9935
136,9943
137,9943
138,9940
139,9951
140,9950
141,9977
142,9978
143,9959
144,9957
145,9963
146,9948
147,9900
148,9851
149,9810
150,9748
151,9728
152,9698
153,9711
154,9717
155,9768
156,9764
157,9786
158,9840
159,9862
160,9821
161,9862
162,9945
163,9942
164,9966
165,9970
166,9980
167,9964
168,9983
169,9934
170,9933
171,9973
172,9924.21
173,9920.23
174,9906.94
175,9935.95
176,9947.17
177,9951.77
178,9951.26
179,9968.35
180,9939.97
181,9966.15
182,9958.63
183,9953.93
184,9982.54
185,9959.65
186,9928.09
187,9892
188,9875.66
189,9879.21
190,9879.42
191,9878.36
192,9887.56
193,9899.42
194,9908.22
195,9922.7
196,9901.77
197,9915.81
198,9920.61
199,9940.16
200,9918.83
201,9919
202,9913.58
203,9901.63
204,9907.1
205,9894.74
206,9895.86
207,9886.12
208,9876.44
209,9893.75
210,9905.85
211,9922.18
212,9939.95
213,9911.06
214,9911.91
215,9922.06
216,9916.65
217,9931.21
218,9931.12
219,9942.04
